productName;Total_Price
"1969 Harley Davidson Ultimate Chopper";90157.77
"1952 Alpine Renault 1300";190017.96
"1996 Moto Guzzi 1100i";109998.82
"2003 Harley-Davidson Eagle Drag Bike";170686.00
"1972 Alfa Romeo GTA";127924.32
"1962 LanciaA Delta 16V";123123.01
"1968 Ford Mustang";161531.48
"2001 Ferrari Enzo";190755.86
"1958 Setra Bus";119085.25
"2002 Suzuki XREO";135767.03
"1969 Corvair Monza";132363.79
"1968 Dodge Charger";98718.76
"1969 Ford Falcon";152543.02
"1970 Plymouth Hemi Cuda";63489.95
"1957 Chevy Pickup";109946.21
"1969 Dodge Charger";104210.62
"1940 Ford Pickup Truck";105563.12
"1993 Mazda RX-7";114648.12
"1937 Lincoln Berline";102563.52
"1936 Mercedes-Benz 500K Special Roadster";46078.29
"1965 Aston Martin DB5";101778.13
"1980s Black Hawk Helicopter";144959.91
"1917 Grand Touring Sedan";140535.60
"1948 Porsche 356-A Roadster";66455.62
"1995 Honda Civic";119050.95
"1998 Chrysler Plymouth Prowler";142530.63
"1911 Ford Town Car";45306.77
"1964 Mercedes Tour Bus";117669.66
"1932 Model A Ford J-Coupe";109992.01
"1926 Ford Fire Engine";55835.30
"P-51-D Mustang";68741.91
"1936 Harley Davidson El Knucklehead";49992.72
"1928 Mercedes-Benz SSK";132275.98
"1999 Indy 500 Monte Carlo SS";100770.12
"1913 Ford Model T Speedster";97193.88
"1934 Ford V8 Coupe";55172.21
"1999 Yamaha Speed Boat";74127.24
"18th Century Vintage Horse Carriage";85328.57
"1903 Ford Model A";111528.82
"1992 Ferrari 360 Spider red";276839.98
"Collectable Wooden Train";82617.12
"1969 Dodge Super Bee";68783.93
"1917 Maxwell Touring Car";87637.63
"1976 Ford Gran Torino";121890.60
"1948 Porsche Type 356 Roadster";121653.46
"1957 Vespa GS150";54024.87
"1941 Chevrolet Special Deluxe Cabriolet";102537.45
"1970 Triumph Spitfire";122254.75
"1932 Alfa Romeo 8C2300 Spider Sport";71526.22
"1904 Buick Runabout";77800.54
"1940s Ford truck";114232.79
"1939 Cadillac Limousine";44037.84
"1957 Corvette Convertible";130749.31
"1957 Ford Thunderbird";50101.57
"1970 Chevy Chevelle SS 454";53236.67
"1970 Dodge Coronet";50255.45
"1997 BMW R 1100 S";105266.64
"1966 Shelby Cobra 427 S/C";42015.54
"1928 British Royal Navy Airplane";94885.37
"1939 Chevrolet Deluxe Coupe";28052.94
"1960 BSA Gold Star DBD34";67193.49
"18th century schooner";112427.12
"1938 Cadillac V-16 Presidential Limousine";38449.09
"1962 Volkswagen Microbus";118774.33
"1982 Ducati 900 Monster";57995.25
"1949 Jaguar XK 120";76670.02
"1958 Chevy Corvette Limited Edition";31627.96
"1900s Vintage Bi-Plane";58434.07
"1952 Citroen-15CV";94248.67
"1982 Lamborghini Diablo";30972.87
"1912 Ford Model T Delivery Wagon";77239.92
"1969 Chevrolet Camaro Z28";67357.30
"1971 Alpine Renault 1600s";52339.53
"1937 Horch 930V Limousine";52803.75
"2002 Chevy Corvette";87404.81
"1940 Ford Delivery Sedan";71208.18
"1956 Porsche 356A Coupe";134240.71
"Corsair F4U ( Bird Cage)";62269.67
"1936 Mercedes Benz 500k Roadster";29763.39
"1992 Porsche Cayenne Turbo Silver";92973.40
"1936 Chrysler Airflow";88434.46
"1900s Vintage Tri-Plane";68276.35
"1961 Chevrolet Impala";69120.97
"1980â€™s GM Manhattan Express";78067.82
"1997 BMW F650 ST";89364.89
"1982 Ducati 996 R";33268.76
"1954 Greyhound Scenicruiser";46519.05
"1950's Chicago Surface Lines Streetcar";53791.99
"1996 Peterbilt 379 Stake Bed with Outrigger";57282.49
"1928 Ford Phaeton Deluxe";60493.33
"1974 Ducati 350 Mk3 Desmo";84039.24
"1930 Buick Marquette Phaeton";41599.24
"Diamond T620 Semi-Skirted Tanker";101137.55
"1962 City of Detroit Streetcar";52123.81
"2002 Yamaha YZR M1";73670.64
"The Schooner Bluenose";56455.11
"American Airlines: B767-300";73871.22
"The Mayflower";69531.61
"HMS Bounty";73298.42
"America West Airlines B757-200";89347.80
"The USS Constitution Ship";66697.13
"1982 Camaro Z28";89272.65
"ATA: B757-300";102786.38
"F/A 18 Hornet 1/72";76618.40
"The Titanic";84992.25
"The Queen Mary";78919.06
"American Airlines: MD-11S";71753.93
"Boeing X-32A JSF";42692.53
"Pont Yacht";47550.40
